,Academic_Year,LSS_Name,School_Name,Assessment,Student_Group,Tested_Count,Proficient_Pct,Create_Date,Level,Subject,Grade
13948,2021.0,Baltimore County,Middlesex Elementary,English/Language Arts Grade 5,All Students,59.0,8.5,20220211.0,Middle,English/Language,5
13966,2021.0,Baltimore County,Middlesex Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Middle,English/Language,6
13973,2021.0,Baltimore County,Hawthorne Elementary,English/Language Arts Grade 3,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,3
13991,2021.0,Baltimore County,Hawthorne Elementary,English/Language Arts Grade 4,All Students,54.0,11.1,20220211.0,Elementary,English/Language,4
14007,2021.0,Baltimore County,Hawthorne Elementary,English/Language Arts Grade 5,All Students,61.0,11.5,20220211.0,Elementary,English/Language,5
14024,2021.0,Baltimore County,Hawthorne Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
14031,2021.0,Baltimore County,Battle Grove Elementary,English/Language Arts Grade 3,All Students,45.0,8.9,20220211.0,Elementary,English/Language,3
14048,2021.0,Baltimore County,Battle Grove Elementary,English/Language Arts Grade 4,All Students,47.0,14.9,20220211.0,Elementary,English/Language,4
14064,2021.0,Baltimore County,Battle Grove Elementary,English/Language Arts Grade 5,All Students,44.0,9.1,20220211.0,Elementary,English/Language,5
14081,2021.0,Baltimore County,Glenmar Elementary,English/Language Arts Grade 3,All Students,51.0,23.5,20220211.0,Elementary,English/Language,3
14097,2021.0,Baltimore County,Glenmar Elementary,English/Language Arts Grade 4,All Students,55.0,18.2,20220211.0,Elementary,English/Language,4
14112,2021.0,Baltimore County,Glenmar Elementary,English/Language Arts Grade 5,All Students,29.0,24.1,20220211.0,Elementary,English/Language,5
14128,2021.0,Baltimore County,Glenmar Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
14134,2021.0,Baltimore County,Orems Elementary,English/Language Arts Grade 3,All Students,51.0,19.6,20220211.0,Elementary,English/Language,3
14152,2021.0,Baltimore County,Orems Elementary,English/Language Arts Grade 4,All Students,63.0,12.7,20220211.0,Elementary,English/Language,4
14169,2021.0,Baltimore County,Orems Elementary,English/Language Arts Grade 5,All Students,39.0,20.5,20220211.0,Elementary,English/Language,5
14186,2021.0,Baltimore County,Orems Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
14202,2021.0,Baltimore County,Middleborough Elementary,English/Language Arts Grade 3,All Students,39.0,17.9,20220211.0,Middle,English/Language,3
14216,2021.0,Baltimore County,Middleborough Elementary,English/Language Arts Grade 4,All Students,52.0,30.8,20220211.0,Middle,English/Language,4
14231,2021.0,Baltimore County,Middleborough Elementary,English/Language Arts Grade 5,All Students,30.0,30.0,20220211.0,Middle,English/Language,5
14245,2021.0,Baltimore County,Middleborough Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Middle,English/Language,6
14251,2021.0,Baltimore County,Deep Creek Elementary,English/Language Arts Grade 3,All Students,64.0,9.4,20220211.0,Elementary,English/Language,3
14268,2021.0,Baltimore County,Deep Creek Elementary,English/Language Arts Grade 4,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,4
14285,2021.0,Baltimore County,Deep Creek Elementary,English/Language Arts Grade 5,All Students,58.0,8.6,20220211.0,Elementary,English/Language,5
14300,2021.0,Baltimore County,Deep Creek Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
